label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
knife,123,163,277,146,100_jpg.rf.1549535438779d094da9f1d3fb1b7c49.jpg,416,416
knife,156,251,32,25,100_jpg.rf.542019935461aacda6e7ea9bba671f31.jpg,416,416
knife,190,354,16,59,100_jpg.rf.7a9e2c74b1907ed11a22cfa0e4c548de.jpg,416,416
knife,211,341,28,49,100_jpg.rf.9c1e9a5e16f4b070add1a43742f9d8b4.jpg,416,416
knife,71,207,136,62,100_jpg.rf.b7afda5ae23c361237c6aa14942e3e1e.jpg,416,416
knife,105,203,76,82,100_jpg.rf.dece21a5df838a28e91b7d96b33a0448.jpg,416,416
knife,147,257,39,33,101_jpg.rf.063e31c69eefb7202f5f6d29f4b96040.jpg,416,416
knife,134,163,137,132,101_jpg.rf.87327352212e3a135e6ab69369cf7a88.jpg,416,416
knife,131,176,282,137,101_jpg.rf.f12bee3232946edc9160e72677504522.jpg,416,416
knife,214,342,25,49,101_jpg.rf.ffc5aacdfd05a0fecf0e9ad4651e9263.jpg,416,416
knife,243,160,65,255,102_jpg.rf.19d791aa4b7552f373c0c2be99c90f2d.jpg,416,416
knife,129,248,41,36,102_jpg.rf.480f84e59abb6febb8a74c015df02dc5.jpg,416,416
knife,201,344,21,62,102_jpg.rf.4d1224999030000ce9f2104f4dfaa5fa.jpg,416,416
knife,165,280,27,62,102_jpg.rf.507b5efbb1a2159cc27d2846d5b514d4.jpg,416,416
knife,132,194,140,160,102_jpg.rf.c230a19e9de2c4a33c609fc6cde1d186.jpg,416,416
knife,29,140,216,172,103_jpg.rf.138664eb262f4b6ccc39d56dbc96b5f2.jpg,416,416
knife,135,242,35,34,103_jpg.rf.890b3b6705f2c4209c9ff31c3f2afc00.jpg,416,416
knife,206,355,14,48,103_jpg.rf.b1c62ff6dbcd59eeb5a4cf7822f99c3a.jpg,416,416
knife,143,159,132,201,103_jpg.rf.c050746680fde927dd6d633f7f7783ef.jpg,416,416
knife,164,285,29,57,103_jpg.rf.cf108c5133cead83dc9e1f27742ea043.jpg,416,416
knife,147,254,29,38,104_jpg.rf.337e9cbe998f4897418a4bd6e1c09c86.jpg,416,416
knife,136,169,137,211,104_jpg.rf.7d1edd6ac4ae5230aa2df396d0348038.jpg,416,416
knife,165,281,24,59,104_jpg.rf.b6dca7a992fbaf7e1249d921fed75d46.jpg,416,416
knife,96,73,67,211,104_jpg.rf.d2a75ecff71deb16731883102cebedf1.jpg,416,416
knife,84,29,51,197,105_jpg.rf.0c925d07da50c1e5b0e269a9bcdb4a59.jpg,416,416
knife,148,256,26,40,105_jpg.rf.2e319192adc6fa199020eef6c5db8043.jpg,416,416
knife,129,232,53,52,105_jpg.rf.314f43e57e5c05e69d60825004e9f8ce.jpg,416,416
knife,160,263,29,74,105_jpg.rf.b20e81e3de935e7d273db75f7107fe0d.jpg,416,416
knife,228,177,56,189,106_jpg.rf.723226d714ca8e34f52e529328e2acdb.jpg,416,416
knife,236,166,52,202,107_jpg.rf.29326c0931a0cde07b5a1e829250702b.jpg,416,416
knife,162,271,24,74,107_jpg.rf.33904da3fd37e70f6bcbc04f557f6356.jpg,416,416
knife,10,95,234,196,107_jpg.rf.599bb7d9ddbffc1d458bd4013fdf4b76.jpg,416,416
knife,154,226,144,177,107_jpg.rf.9fa4d25cdc5161d391988ef1b526720b.jpg,416,416
knife,122,220,59,55,107_jpg.rf.a131a3724d4e5f6dabb331ce7587d7ed.jpg,416,416
knife,148,256,26,38,107_jpg.rf.c3df77075c4d138bc6e261ed73c0e751.jpg,416,416
knife,98,262,272,116,108_jpg.rf.0eae62c00cd8c4ca09c24e77289f960e.jpg,416,416
knife,243,192,74,200,108_jpg.rf.150dd8bcdc340551e1499af79a6a5a23.jpg,416,416
knife,156,172,149,243,108_jpg.rf.4279c0d7c3c7a374383aec1ca9f339b0.jpg,416,416
knife,188,351,27,52,108_jpg.rf.e58d3295de66d048de56426febcebab0.jpg,416,416
knife,148,251,29,36,108_jpg.rf.eee5dec37ac2f552965e51b7b79600e8.jpg,416,416
knife,170,263,14,56,109_jpg.rf.227e6e33ba3bfbe144d71108e20c6f7e.jpg,416,416
knife,199,216,49,139,109_jpg.rf.2e9e9d4e7c675c7fb136d762c3fc052d.jpg,416,416
knife,117,206,70,70,109_jpg.rf.3b975bf5f5021ba2edd1a2a232a06eda.jpg,416,416
knife,211,366,14,44,109_jpg.rf.7a60478a95fe991db6d8fee59c0378d8.jpg,416,416
knife,238,214,87,163,109_jpg.rf.d0f5ebc23dba456b233565b097bdeef0.jpg,416,416
knife,189,312,35,44,10_jpg.rf.09dfd771f2c5a651b0b80636e5ffdf69.jpg,416,416
knife,161,140,43,109,10_jpg.rf.0e7d4a21a68aa8edd0dc1f093657a736.jpg,416,416
knife,186,19,81,396,10_jpg.rf.285dc153b63f873ecd22e686b6f7da2e.jpg,416,416
knife,158,243,137,125,10_jpg.rf.7a19ebcc60a8aa4c15c5dfd1f37ad254.jpg,416,416
knife,190,340,21,20,10_jpg.rf.c462c9953ab2f0957af37efc7d7259e5.jpg,416,416
knife,146,263,33,25,110_jpg.rf.83ce2ef243e50fc14447f5fe79d85fe8.jpg,416,416
knife,158,225,142,172,110_jpg.rf.96e5b7f83af2ee7fd56bcb9848390215.jpg,416,416
knife,184,215,24,79,110_jpg.rf.dfac136f16ed85eaee03626237cd8a8d.jpg,416,416
knife,244,217,84,167,110_jpg.rf.ef35f9a0f76a6329689619b98f19a11a.jpg,416,416
knife,252,210,79,170,111_jpg.rf.1002925fd1f94162930fa6bb81e92a7d.jpg,416,416
knife,150,260,28,27,111_jpg.rf.27244aeee560bb21b0e63752f05d274d.jpg,416,416
knife,202,215,19,59,111_jpg.rf.b118facdc7f5c1c5c536079f30e31a58.jpg,416,416
knife,197,243,18,64,112_jpg.rf.533283a07fdd87e4712a8fed39c5d0bb.jpg,416,416
knife,210,194,172,166,112_jpg.rf.5f3c7ab7ac6e246cf91b3e0aba487d34.jpg,416,416
knife,157,238,141,170,112_jpg.rf.8d67bfae3c62e67a311c4fa951fd2550.jpg,416,416
knife,219,188,99,190,112_jpg.rf.e351a5644842434aa6f2677339c49181.jpg,416,416
knife,134,14,170,334,113_jpg.rf.15d0f5316f80a0ac5d133ec72ccc943e.jpg,416,416
knife,193,234,11,82,113_jpg.rf.3a8c2f8dcf9c7898bfaac688e719ce85.jpg,416,416
knife,155,257,127,158,113_jpg.rf.6c414428188601570ccf7644c26a0092.jpg,416,416
knife,116,213,67,57,113_jpg.rf.b12a829146d3d7fb8c46e828516c556b.jpg,416,416
knife,209,269,33,28,113_jpg.rf.e5a502f567cd4cb764680df3724a8fd1.jpg,416,416
knife,248,245,85,139,114_jpg.rf.a2bf4e55ef208c471b1f3d8f6fc177fd.jpg,416,416
knife,216,270,25,24,114_jpg.rf.b954b4abc0121751d4f8f3561a93ca90.jpg,416,416
knife,183,233,23,70,114_jpg.rf.bfcfc12f87460ca0c83a78013fedacd8.jpg,416,416
knife,22,18,252,273,114_jpg.rf.c95552e8279deb9533791598601beaf0.jpg,416,416
knife,247,302,99,106,115_jpg.rf.191dd3b01438fd88b54d59e257c77160.jpg,416,416
knife,200,269,37,27,115_jpg.rf.3d6b28f4c3e1bd1f475c816aa777cc7c.jpg,416,416
knife,164,259,125,143,115_jpg.rf.53bc78924325beecc114177db1524ad8.jpg,416,416
knife,115,207,62,57,115_jpg.rf.adfb1e7fdbed4a87efe35f9bb64a4486.jpg,416,416
knife,216,140,125,186,115_jpg.rf.b505a5dd028f98db5b570d20e86b0b9a.jpg,416,416
knife,184,234,23,72,115_jpg.rf.b55abaa24b14dc02a0cbfe383d605572.jpg,416,416
knife,117,127,46,87,116_jpg.rf.88f90dc8c9751653916ffd3d2db9ea87.jpg,416,416
knife,187,239,21,64,116_jpg.rf.b2c4998bbe5d4458e7aa98b5100a5d34.jpg,416,416
knife,158,262,118,153,116_jpg.rf.ca25b74b7137634dbc9fd19f8749a218.jpg,416,416
knife,121,152,70,109,117_jpg.rf.348ca691edb3dc1769637c436f6ff1ed.jpg,416,416
knife,201,270,38,28,117_jpg.rf.37d3f373c1700dfa5e2d5f3d35a269cb.jpg,416,416
knife,27,38,311,180,117_jpg.rf.e33c5cd2b53692eea00fd0da4f440feb.jpg,416,416
knife,182,231,27,68,117_jpg.rf.fb7536b34d5bfa295d5437d828ba9d19.jpg,416,416
knife,235,152,42,224,118_jpg.rf.8870f4a3810e6eebba264dd0f758c513.jpg,416,416
knife,187,236,14,59,118_jpg.rf.aafce21fc09f08ac864f1c4dde850ecf.jpg,416,416
knife,98,50,143,241,118_jpg.rf.c0e1e71471ddff5503334d4a0c9d383d.jpg,416,416
knife,203,275,31,25,118_jpg.rf.ea2dd99f689e10f18418f73556ebfdda.jpg,416,416
knife,147,219,132,196,118_jpg.rf.fb805636bd4f3cca3256b8bb3223c877.jpg,416,416
knife,88,108,64,255,119_jpg.rf.303ba2189d65d168dac416a4512b8c4d.jpg,416,416
knife,181,232,17,68,119_jpg.rf.327eb7aa8a1c09e88e92d83e27cd2028.jpg,416,416
knife,196,217,86,119,119_jpg.rf.5e64e5fa303b2c682fc1df9ede4d9768.jpg,416,416
knife,202,272,33,32,119_jpg.rf.ee6e247f0b8919f8b2d88e167208abb5.jpg,416,416
knife,163,290,18,43,11_jpg.rf.14fb82bcb182dbc43da118bca7417de3.jpg,416,416
knife,161,244,125,139,11_jpg.rf.5e2a32c990d105eb22539e7812d9b55a.jpg,416,416
knife,193,350,9,19,11_jpg.rf.795d36a12efb58a793c19d5e6e9d8cef.jpg,416,416
knife,193,311,41,58,11_jpg.rf.8b3be26a35d110c678e8e1afacd4aa0c.jpg,416,416
knife,188,23,93,392,11_jpg.rf.bb3710abc9d03a978caa311947087df6.jpg,416,416
knife,190,349,21,38,11_jpg.rf.e4c825fc8c9d431e590508f8ffb1966e.jpg,416,416
knife,202,276,29,31,120_jpg.rf.09956ce1470cb246a7701d21921e6086.jpg,416,416
knife,187,231,18,66,120_jpg.rf.1a6a9d4e2a0c355169583aee29f36a98.jpg,416,416
knife,182,272,67,75,120_jpg.rf.878a86e615003ee97085bfc45d9f5574.jpg,416,416
knife,234,237,86,135,120_jpg.rf.da3095b454b861b3c5d5b2ab3209e36f.jpg,416,416
knife,186,223,18,77,121_jpg.rf.203484d49b7051bfa47bb45fab9cba50.jpg,416,416
knife,175,273,102,87,121_jpg.rf.866ab0b2f6ec4cd26edec014318c0648.jpg,416,416
knife,195,274,34,20,121_jpg.rf.e60ebbe7bce4c7b2ebdbd5630774dbe1.jpg,416,416
knife,163,281,116,85,122_jpg.rf.7b52931d8ac8a101c3f09c9a4979b786.jpg,416,416
knife,16,78,278,301,123_jpg.rf.8bf4bcac6438be4c138f5d91ea1c190c.jpg,416,416
knife,183,232,24,62,123_jpg.rf.9f05c1cb448a7f299626f80a7109bae4.jpg,416,416
knife,209,339,11,54,123_jpg.rf.d8172657d75e41f200d1f7f3bfab500e.jpg,416,416
knife,86,49,226,349,124_jpg.rf.7854334cca925d4c78753bc6a241a342.jpg,416,416
knife,165,285,127,89,124_jpg.rf.8dc8b8e9b837553bbc23b4b25809932d.jpg,416,416
knife,202,342,20,53,124_jpg.rf.b28c288f14ef0d3ac57ee1bb5400e289.jpg,416,416
knife,258,243,72,154,124_jpg.rf.e6033b20dc562c5cfce46cf37b09389b.jpg,416,416
knife,162,270,119,125,125_jpg.rf.02d03f8cff0e6ff6e0635821f9371ae3.jpg,416,416
knife,206,340,25,45,125_jpg.rf.0d87abd29dd18a529b72530fcf874c1b.jpg,416,416
knife,267,184,55,174,125_jpg.rf.4526ea8faa7d2b903085b73a42992707.jpg,416,416
knife,154,171,188,205,125_jpg.rf.b4d10a22b691f44f757654d7e907005b.jpg,416,416
knife,208,344,24,42,126_jpg.rf.0bf777b1aef7486a94d3ee871ca68e28.jpg,416,416
knife,169,234,134,124,126_jpg.rf.74ee26eb8050465fc37c2c6d6210bfbd.jpg,416,416
knife,158,85,222,173,126_jpg.rf.87fe3338fe951601c09aabac1c86e005.jpg,416,416
knife,82,91,132,175,126_jpg.rf.fa342c86be3a3160e77afd5398ef46e1.jpg,416,416
knife,248,272,90,67,127_jpg.rf.1ad800f65d43f675b52ef8eea469a1d0.jpg,416,416
knife,175,221,127,117,127_jpg.rf.4c24dda1cba342d997ac77e57b232df1.jpg,416,416
knife,281,51,40,282,127_jpg.rf.8bda6e279fac8b57fa8f5c17eb4b12a3.jpg,416,416
knife,211,160,85,208,128_jpg.rf.34d56526fa010ffb7afde15f72592712.jpg,416,416
knife,84,89,119,167,128_jpg.rf.b602483d6fff1f2f96e482d0385acb77.jpg,416,416
knife,211,347,25,49,128_jpg.rf.cdee4026d55b5c0bc70199153edf2cf6.jpg,416,416
knife,239,248,90,129,129_jpg.rf.2f5f76af059dadf4ea046a32b3bae6c3.jpg,416,416
